All,الكل
The last status can't be changed and needs to stay assigned to its current state.,The last status can't be changed and needs to stay assigned to its current state.
The status can't be unassigned because the status is currently used by an order.,The status can't be unassigned because the status is currently used by an order.
The status needs to remain assigned to its state.,The status needs to remain assigned to its state.
"The ""%1"" validator is not an instance of the general validator interface.","The ""%1"" validator is not an instance of the general validator interface."
The creditmemo contains incorrect product items.,The creditmemo contains incorrect product items.
You can not refund shipping if there is no shipping amount.,You can not refund shipping if there is no shipping amount.
Move to Archive,نقل إلى الأرشيف
Move to Order Management,الانتقال إلى إدارة الطلب
We have archived the order.,تم أرشفة الطلب.
Please specify the order ID to be archived.,الرجاء تحديد معرف الطلب للأرشفة.
We archived %1 order(s).,تم ارشفة %1 طلب/طلبات.
We can't archive the selected order(s).,لا يمكن أرشفة الطلب المحدد.
We removed %1 order(s) from the archive.,We removed %1 order(s) from the archive.
We have removed the order from the archive.,لقد قمنا بإزالة الطلب من الأرشيف.
Please specify the order ID to be removed from archive.,Please specify the order ID to be removed from archive.
There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.,There are %1 orders in this archive. All of them will be moved to the regular table after the archive is disabled.
Restore from Archive,Restore from Archive
"Orders, Invoices, Shipments, Credit Memos Archiving","Orders, Invoices, Shipments, Credit Memos Archiving"
Enable Archiving,Enable Archiving
Archive Orders Purchased,Archive Orders Purchased
Order Statuses to be Archived,Order Statuses to be Archived
Mass Add,إضافة كتلة
Sales Archive,Sales Archive
Return to Order Management,Return to Order Management
Remove to Archive,Remove to Archive
Go to Archive,Go to Archive
"The ""%1"" product is not part of the current creditmemo.","The ""%1"" product is not part of the current creditmemo."
The return to stock argument contains product item that is not part of the original order.,The return to stock argument contains product item that is not part of the original order.
Are you sure you want to delete this?,هل أنت متأكد من أنك تريد حذف هذا؟
Apply the rule only to cart items matching the following conditions (leave blank for all items).,تطبيق القاعده فقط على عناصر سلة التسوق المطابقه للشروط التالية (اتركه فارغا لجميع البنود).
Apply the rule only if the following conditions are met (leave blank for all products).,تطبيق القاعده الا اذا كانت الشروط التالية (اتركه فارغا لكافة المنتجات).
Manage Coupon Codes,إدارة قسيمة الخصم
Coupon Qty,كمية قسيمة الخصم
If empty no separation.,If empty no separation.
Times Used,Times Used
Are you sure you want to delete the selected coupon(s)?,Are you sure you want to delete the selected coupon(s)?
Labels,Labels
%1 - Discounts and Coupons,%1 - تخفيض و خصم
Coupons/Discounts,القسائم/الخصومات
We can't delete the rule right now. Please review the log and try again.,لا يمكن حذف هذه القاعدة الآن. الرجاء مراجعة السجل وحاول مرة أخرى.
New Cart Price Rule,New Cart Price Rule
Rule is not defined,القاعدة لم يتم تعريفها
%1 coupon(s) have been generated.,%1 coupon(s) have been generated.
Invalid data provided,البيانات المقدمة غير صحيحة
Something went wrong while generating coupons. Please review the log and try again.,Something went wrong while generating coupons. Please review the log and try again.
The wrong rule is specified.,تم تحديد قاعدة خاطئة.
We cannot create the requested Coupon Qty. Please check your settings and try again.,We cannot create the requested Coupon Qty. Please check your settings and try again.
Specified rule does not allow coupons,القاعدة المحددة لا تسمح بالقسائم
Specified rule only allows auto generated coupons,القاعدة المحددة تسمح فقط بقسائم التي تم إنشاؤها بشكل اتوماتيكي
Specified rule does not allow auto generated coupons,Specified rule does not allow auto generated coupons
Error occurred when saving coupon: %1,Error occurred when saving coupon: %1
Coupon with the same code,Coupon with the same code
No Coupon,لا قسيمة
Specific Coupon,قسيمة محددة
Can't acquire coupon.,لا يمكن الحصول على قسيمة.
Total Items Quantity,كمية السلع الإجمالية
Shipping Postcode,الرمز البريدي للشحن
Shipping Region,منطقة الشحن
Shipping State/Province,محافظة/منطقة الشحن
Shipping Country,بلد الشحن
Product attribute combination,سمة الجمع بين المنتجات
Products subselection,Products subselection
Cart Attribute,سمة السلة
Quantity in cart,الكمية في سلة التسوق
Price in cart,السعر في السلة
Row total in cart,على التوالى فى اجمالى السلة
Cart Item Attribute,ميزة سلة العنصر
FOUND,FOUND
NOT FOUND,NOT FOUND
If an item is %1 in the cart with %2 of these conditions true:,If an item is %1 in the cart with %2 of these conditions true:
total amount,المبلغ الإجمالي
If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:,If %1 %2 %3 for a subselection of items in cart matching %4 of these conditions:
Percent of product price discount,النسبة المئوية للخصم من سعر المنتج
Fixed amount discount,كمية خصم ثابتة
Fixed amount discount for whole cart,نسبة خصم ثابتة لسلة التسوق كلها
Buy X get Y free (discount amount is Y),قم بشراء س تحصل على ص مجانا (كمية الخصم في ص).
Specified rule does not allow automatic coupon generation,Specified rule does not allow automatic coupon generation
Error occurred when generating coupons: %1,Error occurred when generating coupons: %1
Some coupons are invalid.,Some coupons are invalid.
Item totals are not set for the rule.,Item totals are not set for the rule.
"%1 Cart Price Rules based on ""%2"" attribute have been disabled.","%1 Cart Price Rules based on ""%2"" attribute have been disabled."
Your coupon was successfully removed.,Your coupon was successfully removed.
Your coupon was successfully applied.,Your coupon was successfully applied.
Promotion,Promotion
Auto Generated Specific Coupon Codes,Auto Generated Specific Coupon Codes
",module,Magento_SalesRule
If you select and save the rule you will be able to generate multiple coupon codes.,module,Magento_SalesRule
",",module,Magento_SalesRule
If you select and save the rule you will be able to generate multiple coupon codes.,module,Magento_SalesRule
"
Use Auto Generation,Use Auto Generation
Uses per Coupon,مستخدم كل قسيمة الخصم
",module,Magento_SalesRule
Usage limit enforced for logged in customers only.,module,Magento_SalesRule
",",module,Magento_SalesRule
Usage limit enforced for logged in customers only.,module,Magento_SalesRule
"
Uses per Customer,Uses per Customer
Public In RSS Feed,النشر في موجز ويب ل RSS
Maximum Qty Discount is Applied To,Maximum Qty Discount is Applied To
Discount Qty Step (Buy X),خطوة خصم الكمية (شراء X)
Discount amount is applied to subtotal only,Discount amount is applied to subtotal only
Discount amount is applied to subtotal and shipping amount separately,Discount amount is applied to subtotal and shipping amount separately
Apply to Shipping Amount,تنطبق على كمية الشحن
Default Rule Label for All Store Views,Default Rule Label for All Store Views
Coupons Information,معلومات قسائم الخصم
If you select and save the rule you will be able to generate multiple coupon codes.,إذا قمت بتحديد حفظ القاعدة سوف تكون قادر على توليد عدة رموز للقسيمة.
Usage limit enforced for logged in customers only.,حد الاستخدام القسري لتسجيل العملاء فقط.
Your coupon was successfully removed,Your coupon was successfully removed
Your coupon was successfully applied,Your coupon was successfully applied
Category (Parent only),Category (Parent only)
Category (Children Only),Category (Children Only)
(Parent Only),(Parent Only)
(Children Only),(Children Only)
"Message is added to queue, wait to get your coupons soon","Message is added to queue, wait to get your coupons soon"
Your coupons are ready,Your coupons are ready
You can check your coupons at sales rule page,You can check your coupons at sales rule page
Error during coupons generator process occurred,Error during coupons generator process occurred
Error during coupons generator process occurred. Please check logs for detail,Error during coupons generator process occurred. Please check logs for detail
An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2,An error occurred during processing; coupon with id %1 expiration date wasn't updated. The error message was: %2
The cart price rule will be removed from the update and all scheduled changes will be lost.,The cart price rule will be removed from the update and all scheduled changes will be lost.
Remove Cart Price Rule from Campaign,Remove Cart Price Rule from Campaign
Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.,Deleting the update will remove the cart price rule from this campaign and all scheduled changes will be lost.
Entity Sequence profile not added to meta active profile,Entity Sequence profile not added to meta active profile
Not enough arguments,حجج غير كافية
The entity sequence profile wasn't added to the meta active profile. Verify the profile and try again.,The entity sequence profile wasn't added to the meta active profile. Verify the profile and try again.
File not found,File not found
Fatal Error,Fatal Error
Use deferred Stock update,Use deferred Stock update
Add Scheduled Export,إضافة تصدير مجدول
Add Scheduled Import,إضافة تصدير مجدول
Scheduled Import/Export,الموعد المقرر للاستيراد/التصدير
Please correct the scheduled operation type.,الرجاء تصحيح نوع العملية المقررة.
Server Type,نوع الخادم
File Directory,File Directory
"For Type ""Local Server"" use relative path to Magento installation, e.g. var/export, var/import, var/export/some/dir","لنوع ""الملقم المحلي"" استخدم مسار نسبي لتثبيت ماجنتو ، مثل var/export, var/import, var/export/some/dir"
FTP Host[:Port],مضيف FTP [: المنفذ]
File Mode,وضع الملف
Passive Mode,الوضع الخامل
Failed Email Receiver,Failed Email Receiver
Failed Email Sender,Failed Email Sender
Failed Email Template,Failed Email Template
Send Failed Email Copy To,Send Failed Email Copy To
Send Failed Email Copy Method,Send Failed Email Copy Method
Export File Information,Export File Information
Export Failed Emails,Export Failed Emails
File Format,File Format
Import File Information,Import File Information
Import Failed Emails,Import Failed Emails
On Error,في خطأ
File Name,اسم الملف
Clean Now,تنظيف الآن
Scheduled Imports/Exports,Scheduled Imports/Exports
The operation ran.,The operation ran.
"We can't run the operation right now, see error log for details.",لا يمكننا تشغيل العملية الآن، راجع سجل الأخطاء للحصول على التفاصيل.
We can't delete the scheduled operation right now.,لا يمكننا حذف العملية المقررة الآن.
No valid data sent,No valid data sent
You deleted the history files.,You deleted the history files.
We can't delete the history files right now.,لا يمكننا حذف ملفات التاريخ الآن.
We cannot change status for all items.,We cannot change status for all items.
You deleted a total of %1 record(s).,You deleted a total of %1 record(s).
We can't delete all the items right now.,لا يمكننا حذف كافة العناصر الموجودة الآن.
We can't save the scheduled operation right now.,لا يمكننا حفظ العملية المقررة الآن.
"We can't create directory ""%1""","We can't create directory ""%1"""
"The directory ""%1"" is not writable.","The directory ""%1"" is not writable."
"We can't delete ""%1"" because the directory is not writable.","We can't delete ""%1"" because the directory is not writable."
Scheduled Import,Scheduled Import
New Scheduled Import,New Scheduled Import
Scheduled Export,Scheduled Export
New Scheduled Export,New Scheduled Export
You saved the scheduled import.,You saved the scheduled import.
You saved the scheduled report.,You saved the scheduled report.
You deleted the scheduled import.,You deleted the scheduled import.
You deleted the scheduled export.,You deleted the scheduled export.
Are you sure you want to delete this scheduled import?,Are you sure you want to delete this scheduled import?
Are you sure you want to delete this scheduled export?,Are you sure you want to delete this scheduled export?
We were unable to save the cron expression.,We were unable to save the cron expression.
Unable to delete the cron task.,Unable to delete the cron task.
Please correct the cron job task,Please correct the cron job task
File has been not created,File has been not created
Something went wrong and the operation failed.,Something went wrong and the operation failed.
We can't read the file source because the file name is empty.,لا يمكننا قراءة ملف مصدر الأسم لأن الملف فارغ.
Connecting to server,Connecting to server
Reading import file,Reading import file
We can't read the import file.,لا يمكننا قراءة ملف الاستيراد.
"Save history file content ""%1""","Save history file content ""%1"""
"We couldn't write file ""%1"" to ""%2"" with the ""%3"" driver.","لا يمكن أن نكتب الملف ""%1"" إلى ""%2"" في برنامج ""%3""."
Save file content,Save file content
Please correct the server type.,Please correct the server type.
Import path %1 not exists,Import path %1 not exists
We can't read the file.,لا يمكننا قراءة الملف.
We can't save the file history file.,لا يمكننا حفظ تاريخ الملف.
Unknown file format,Unknown file format
Local Server,نظام محلي
Remote FTP,النائية FTP
Binary,ثنائي
ASCII,آسكي
Stop Import,Stop Import
Continue Processing,Continue Processing
Successful,Successful
Can not open file,Can not open file
%store_name - Scheduled Export Failed,%store_name - Scheduled Export Failed
%operation_name - Scheduled Export Failed,%operation_name - Scheduled Export Failed
Operation name:,Operation name:
Entity type:,نوع الكيان:
File history path:,File history path:
Log trace:,Log trace:
Scheduled Import/Export File History Cleanup Warnings,Scheduled Import/Export File History Cleanup Warnings
%store_name  - Scheduled Import Failed,%store_name  - Scheduled Import Failed
%operation_name - Scheduled Import Failed,%operation_name - Scheduled Import Failed
Scheduled Import/Export File History Cleaning,Scheduled Import/Export File History Cleaning
"Save Files, Days","Save Files, Days"
Enable Scheduled File History Cleaning,Enable Scheduled File History Cleaning
Are you sure you want to delete the selected scheduled imports/exports?,Are you sure you want to delete the selected scheduled imports/exports?
Last Run,Last Run
Last Outcome,Last Outcome
"For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir","For Type ""Local Server"" use relative path to Magento installation,  e.g. var/export, var/import, var/export/some/dir"
Search Term,البحث في المصطلحات
Search Synonyms,البحث عن مرادفات
New Synonym Group,مجموعة مرادف جديدة
Delete Synonym Group,حذف مجموعة مرادف
Are you sure you want to delete this synonym group?,هل أنت متأكد من أنك تريد حذف مرادفات هذه المجموعة ؟
Save Synonym Group,حفظ مرادفات المجموعة
Save Search,حفظ البحث
Delete Search,حذف بحث
Edit Search '%1',تعديل بحث '%1'
New Search,بحث جديد
Search Information,حفظ المعلومات
Number of results,عدد النتائج
Number of results (For the last time placed),عدد النتائج (التي وضعت في المرة الأخيرة)
For the last time placed.,التي وضعت في المرة الأخيرة.
Number of Uses,عدد من الاستخدامات
ex. http://domain.com,http://domain.com مثال
Display in Suggested Terms,العرض في العناصر المقترحة
The synonym group has been deleted.,تم حذف مرادفات المجموعة.
An error was encountered while performing delete operation.,تمت مصادفة خطأ أثناء إجراء عملية الحذف.
We can't find a synonym group to delete.,لا يمكن أن نجد مرادفات المجموعة لحذفها.
This synonyms group no longer exists.,هذه المرادفات للمجموعة لم تعد موجودة.
Edit Synonym Group,تعديل مرادفات مجموعة
Synonym Group,مرادفات مجموعة
Failed to delete %1 synonym group(s).,فشل في حذف %1 مرادفات مجموعة.
A total of %1 synonym group(s) have been deleted.,A total of %1 synonym group(s) have been deleted.
Search synonyms are not supported by the %1 search engine. Any synonyms you enter won't be used.,البحث عن مرادفات غير معتمدة من قبل محرك البحث %1. لن يتم استخدام اي مرادفات تقوم بإدخالها.
This synonym group no longer exists.,هذه المرادفات للمجموعة لم تعد موجودة.
You saved the synonym group.,تم حفظ مرادفات المجموعة.
"The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to 1 existing synonym group, %2. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
"The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged.","The terms you entered, (%1), belong to %2 existing synonym groups, %3 and %4. Select the ""Merge existing synonyms"" checkbox so the terms can be merged."
You deleted the search.,لقد حذفت البحث.
We can't find a search term to delete.,لم نجد مصطلح بحث لحذفه.
This search no longer exists.,هذا البحث لم يعد موجوداً.
Edit Search,اضافة بحث
Please select searches.,Please select searches.
Search Terms Report,تقرير عبارات البحث
You saved the search term.,You saved the search term.
Something went wrong while saving the search query.,حدث خطأ أثناء حفظ استعلام البحث.
You already have an identical search term query.,لديك مسبقاً استعلام مصطلح بحث متطابق.
"Your search query can't be longer than %1, so we shortened your query.",استعلام البحث الخاص بك لا يمكن أن يكون أطول من %1، قمنا بتقصير الاستعلام.
Synonym group with id %1 cannot be deleted. %2,Synonym group with id %1 cannot be deleted. %2
Merge conflict with existing synonym group(s): %1,Merge conflict with existing synonym group(s): %1
All Store Views,All Store Views
Are you sure you want to delete synonym group with id: %1?,Are you sure you want to delete synonym group with id: %1?
Search entire store here...,ابحث فى المتجر بالكامل هنا...
There are no search terms available.,لا يوجد كلمات بحث متاحة الان.
Search Engine,محرك بحث
Hits,عدد القراء
Suggested Terms,الاختصاصات المقترحة
You can adjust the scope of this synonym group by selecting an option from the list.,يمكنك ضبط نطاق مرادفات هذه المجموعة بتحديد الخيار من القائمة.
"Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”","Comma-separated list of synonyms. The terms entered (separated by commas) will be used as an “OR” search query to search your entire store. For example, if you enter “shoes,footwear”, and user were to search for ""shoes"", the search results will include any product or content with term “shoes"" or ""footwear.”"
Synonyms,مرادفات
"Automatically merges synonyms in groups that share the same scope. If you check this box and you add one or more of the same terms to different synonym groups in the same scope, automatically merges all the terms to one group. If this isn't what you want, uncheck the box and an error displays if you try to add the same terms.",تلقائياً يتم دمج المرادفات في المجموعات التي تشترك في نفس النطاق. يمكنك تحديد هذا المربع ويمكنك بإضافة واحد أو أكثر من الشروط نفسها إلى مرادفات مجموعات مختلفة في نفس النطاق، يدمج تلقائياً جميع المصطلحات إلى مجموعة واحدة. إذا لم يكن هذا ما تريد، قم بإلغاء تحديد المربع وسيتم عرض الخطأ عند محاولة إضافة نفس الشروط.
Are you sure you want to delete the selected synonym groups?,هل أنت متأكد من أنك تريد حذف مرادفات المجموعات المحددة؟
Synonym For,مرادف الى
Will make search for the query above return results for this search,سوف نجعل البحث عن الاستعلام أعلاه يرجع نتائج لهذا البحث
Merge existing synonyms,دمج المرادفات الموجودة
"The synonym group with the ""%1"" ID can't be deleted. %2","The synonym group with the ""%1"" ID can't be deleted. %2"
Account Activity,نشاط الحساب
All other open sessions for this account were terminated.,تم إنهاء كافة جلسات العمل المفتوحة الأخرى لهذا الحساب.
We couldn't logout because of an error.,لم أستطع الخروج بسبب حدوث خطأ.
Someone logged into this account from another device or browser. Your current session is terminated.,شخص قام بتسجيل الدخول إلى هذا الحساب من جهاز آخر أو المستعرض. تم إنهاء جلسة العمل الحالية الخاصة بك.
Your current session is terminated by another user of this account.,تم إنهاء جلسة العمل الحالية الخاصة بك من قبل مستخدم آخر لهذا الحساب.
Your current session has been expired.,انتهت مدة صلاحية جلسة العمل الحالية الخاصة بك.
By IP and Email,بواسطة ال IP والبريد الإلكتروني
By IP,عبر IP
By Email,عبر البريد الإلكتروني
Too many password reset requests. Please wait and try again or contact %1.,لقد تعديت الحد الأقصى من طلبات إعادة تعيين كلمة المرور. الرجاء الانتظار والمحاولة مرة أخرى أو مراسلة %1.
Incorrect Security Checker class. It has to implement SecurityCheckerInterface,Incorrect Security Checker class. It has to implement SecurityCheckerInterface
This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.,This administrator account is open in more than one location. Note that other locations might be different browsers or sessions on the same computer.
Concurrent session information:,Concurrent session information:
Time of session start,وقت بدء الدورة
Are you sure that you want to log out all other sessions?,Are you sure that you want to log out all other sessions?
Log out all other sessions,Log out all other sessions
This computer is using IP address %1.,This computer is using IP address %1.
Admin Account Sharing,Admin Account Sharing
"If set to Yes, you can log in from multiple computers into same account. Default setting No improves security.","If set to Yes, you can log in from multiple computers into same account. Default setting No improves security."
Password Reset Protection Type,Password Reset Protection Type
Max Number of Password Reset Requests,Max Number of Password Reset Requests
Limit the number of password reset request per hour. Use 0 to disable.,Limit the number of password reset request per hour. Use 0 to disable.
Min Time Between Password Reset Requests,Min Time Between Password Reset Requests
Delay in minutes between password reset requests. Use 0 to disable.,Delay in minutes between password reset requests. Use 0 to disable.
We received too many requests for password resets. Please wait and try again later or contact %1.,We received too many requests for password resets. Please wait and try again later or contact %1.
You can't send messages more than %1 times an hour.,لا يمكنك إرسال رسائل أكثر من %1 مرة في الساعة.
The link to a friend was sent.,تم إرسال الرابط لصديق.
We found some problems with the data.,وجدنا بعض المشاكل مع البيانات.
Some emails were not sent.,لم ترسل بعض رسائل البريد الإلكتروني.
You've met your limit of %1 sends in an hour.,قد وصلت الحد الخاص بك لإرسال %1 في ساعة واحدة.
Please enter a sender name.,يرجى ادخال اسم الراسل.
Invalid Sender Email,بريد الراسل غير صحيح
Please enter a message.,الرجاء إدخال رسالة.
Please specify at least one recipient.,الرجاء تحديد مستلم واحد على الأقل.
Please enter a correct recipient email address.,الرجاء إدخال عنوان بريد إلكتروني صحيح.
No more than %1 emails can be sent at a time.,No more than %1 emails can be sent at a time.
Please define a correct product instance.,الرجاء تعريف مثيل صحيح للمنتج.
Invalid Sender Information,معلومات المرسل غير صالحة
Please define the correct sender information.,الرجاء تحديد معلومات المرسل الصحيحة.
Cookie (unsafe),ملف تعريف الارتباط (غير أمن)
No Product Exception.,لا يوجد استثناء للمنتج.
No Category Exception.,No Category Exception.
Exception.,استثناء.
Remove Recipent,Remove Recipent
"Welcome, %name","Welcome, %name"
%sender_name wants to share this product with you:,%sender_name wants to share this product with you:
Select Email Template,Select Email Template
Allow for Guests,السماح للزوار
Max Recipients,اقصى عدد للمستقبلين
Max Products Sent in 1 Hour,اقصى عدد للمنتجات يمكن ارسالة بالساعة
Limit Sending By,حدد الارسال بـ
Please provide Name for all of recipients.,Please provide Name for all of recipients.
Please provide Email for all of recipients.,Please provide Email for all of recipients.
Please provide Name of sender.,Please provide Name of sender.
Please provide Email of sender.,Please provide Email of sender.
Please provide Message.,Please provide Message.
Catalog Structure,Catalog Structure
Catalog Id,Catalog Id
Store Id,Store Id
This action cannot be undone. Are you sure you want to delete this catalog?,This action cannot be undone. Are you sure you want to delete this catalog?
Linked Products,Linked Products
Pricing,Pricing
Shared Catalogs,Shared Catalogs
The companies have been reassigned.,The companies have been reassigned.
Error while reassigning the company.,Error while reassigning the company.
Discount value cannot be outside the range 0-100,Discount value cannot be outside the range 0-100
"We found a duplicate website, tier price or quantity.","We found a duplicate website, tier price or quantity."
The selected items are being processed. You can continue to work in the meantime.,The selected items are being processed. You can continue to work in the meantime.
The selected changes have been applied to the shared catalog.,The selected changes have been applied to the shared catalog.
New Shared Catalog,New Shared Catalog
The shared catalog was deleted successfully.,The shared catalog was deleted successfully.
Duplicate of %1,Duplicate of %1
You saved the shared catalog.,You saved the shared catalog.
Something went wrong while saving the shared catalog.,Something went wrong while saving the shared catalog.
No shared catalog name is specified in request.,No shared catalog name is specified in request.
Requested categories don't exist: %categoriesIds.,Requested categories don't exist: %categoriesIds.
You cannot unassign a company from the public shared catalog.,You cannot unassign a company from the public shared catalog.
Could not set default customer group,Could not set default customer group
A customer group with this name already exists. Enter a different name to create a shared catalog.,A customer group with this name already exists. Enter a different name to create a shared catalog.
Could not save customer group.,Could not save customer group.
Could not update shared catalog customer group,Could not update shared catalog customer group
Cannot load product items for shared catalog,Cannot load product items for shared catalog
Could not save ProductItem,Could not save ProductItem
Cannot delete product with id %1,Cannot delete product with id %1
Cannot delete shared catalog with id %1,Cannot delete shared catalog with id %1
Assign Categories to Shared Catalog,Assign Categories to Shared Catalog
Something went wrong while scheduling operations.,Something went wrong while scheduling operations.
Assign custom prices to selected products,Assign custom prices to selected products
Could not save shared catalog.,Could not save shared catalog.
You must enable category permissions for the following products: %skus.,You must enable category permissions for the following products: %skus.
Requested product doesn't exist: %sku.,Requested product doesn't exist: %sku.
No such shared catalog entity,No such shared catalog entity
"You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public.","You cannot convert a public catalog to a custom catalog. If you need to replace this public catalog, create a custom catalog, then change its type to public."
Requested Shared Catalog is not found,Requested Shared Catalog is not found
Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.,Catalog (id:%1) cannot be deleted because it is a public catalog. You must create a new public catalog before you can delete this catalog.
"Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class.","Cannot create a shared catalog because some information is missing. Please make sure you provided Store Group ID, Name and Tax Class."
The maximum allowed catalog name length is %1 characters.,The maximum allowed catalog name length is %1 characters.
A catalog named %catalogName already exists. Please select a different name.,A catalog named %catalogName already exists. Please select a different name.
You cannot change the customer group for a shared catalog.,You cannot change the customer group for a shared catalog.
"Please <a href=""%1"">create</a> at least a public shared catalog to proceed.","Please <a href=""%1"">create</a> at least a public shared catalog to proceed."
A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.,A shared catalog is linked to this customer group. You must delete the shared catalog before you can delete this customer group.
Requested product doesn't exist: %1.,Requested product doesn't exist: %1.
Website 3,Website 3
Website 1,Website 1
Set Pricing and Structure,Set Pricing and Structure
Assign Companies,Assign Companies
"Delete ""${ $.$data.name }""","Delete ""${ $.$data.name }"""
Catalog and Tier Price,Catalog and Tier Price
Group or Catalog,Group or Catalog
"You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in,module,Magento_SharedCatalog
Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.,module,Magento_SharedCatalog
Otherwise, the categories and products you're configuring in shared catalogs will,module,Magento_SharedCatalog
not be restricted to customers.","You must enable the <a href=""%1"" data-role=""notification-dialog"">shared catalog</a> feature in,module,Magento_SharedCatalog
Stores -> Configuration -> B2B Features to use the shared catalogs in the storefront.,module,Magento_SharedCatalog
Otherwise, the categories and products you're configuring in shared catalogs will,module,Magento_SharedCatalog
not be restricted to customers."
"You must enable the shared catalog feature in Stores -> Configuration -> B2B Features,module,Magento_SharedCatalog
to use the shared catalogs in the storefront. Otherwise, the categories and products you're,module,Magento_SharedCatalog
configuring in shared catalogs will not be restricted to customers.","You must enable the shared catalog feature in Stores -> Configuration -> B2B Features,module,Magento_SharedCatalog
to use the shared catalogs in the storefront. Otherwise, the categories and products you're,module,Magento_SharedCatalog
configuring in shared catalogs will not be restricted to customers."
Products in Catalog,Products in Catalog
Continue to configure the shared catalog structure and pricing.,Continue to configure the shared catalog structure and pricing.
Store:,Store:
Step 2: Set Custom Prices,Step 2: Set Custom Prices
Step 1: Select Products for Catalog,Step 1: Select Products for Catalog
Website:,Website:
Assign,إسناد
Proceed to Store Configuration?,Proceed to Store Configuration?
"You've made changes into the shared catalog. If you leave this page now, the changes will be lost.","You've made changes into the shared catalog. If you leave this page now, the changes will be lost."
The maximum allowed catalog name length is {0} characters.,The maximum allowed catalog name length is {0} characters.
Conflicting row.,Conflicting row.
Generate Catalog,Generate Catalog
products,products
included,included
Shared Catalog,Shared Catalog
Manage Shared Catalog,Manage Shared Catalog
Enable Shared Catalog,Enable Shared Catalog
"To select No, please <a href=""%1"">create</a> the Public Catalog first.","To select No, please <a href=""%1"">create</a> the Public Catalog first."
Use this field to change company's shared catalog,Use this field to change company's shared catalog
Group/Shared Catalog,Group/Shared Catalog
Product In Shared Catalogs,Product In Shared Catalogs
Change Catalog?,Change Catalog?
The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?,The selected companies are already using a different shared catalog. This action will change a shared catalog for selected companies. Would you like to continue?
The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?,The selected companies will be unlinked from the current shared catalog and linked to the default public catalog. Would you like to continue?
Assign Catalog,Assign Catalog
Unassign Catalog,Unassign Catalog
Assigned,المحال
Shared Catalog Information,Shared Catalog Information
Catalog Details,Catalog Details
Public Catalog Already Exists,Public Catalog Already Exists
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be assigned to the new public shared catalog."
Change Catalog Type?,Change Catalog Type?
"A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog.","A public shared catalog already exists. If you proceed, the existing public shared catalog will be converted to a custom catalog. All the companies defined in the existing public shared catalog will be re-assigned to the new public shared catalog."
Add Shared Catalog,Add Shared Catalog
This action cannot be undone. Are you sure you want to delete this catalog(s)?,This action cannot be undone. Are you sure you want to delete this catalog(s)?
discount-prompt,discount-prompt
This discount will be applied to all selected products. The custom price type will be set to 'Discount'.,This discount will be applied to all selected products. The custom price type will be set to 'Discount'.
Set Discount,Set Discount
adjust-prices-prompt,adjust-prices-prompt
This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.,This discount will be applied to all selected products. The custom price type will be set to 'Fixed'.
Adjust Fixed Price,Adjust Fixed Price
MSRP,MSRP
New Price,New Price
tier_price_form,tier_price_form
"To select No, please <a href=""%s"">create</a> the Public Catalog first.","To select No, please <a href=""%s"">create</a> the Public Catalog first."
New Shipment for Order #%1,شحنة جديدة للطلب #%1
Submit Shipment,ارسال الشحنه
You are trying to add a quantity for some products that doesn't match the quantity that was shipped.,أنت تحاول إضافة كمية لبعض المنتجات التي لا تتطابق مع الكمية التي تم شحنها.
The value that you entered is not valid.,القيمة المدخلة ليست صحيحة.
Add Tracking Number,إضافة رقم تعقب
